Time (s),Temperature (C)
33.95,-1.95184986402597
34,-1.95230426669497
34.05,-1.95284939527915
34.1,-1.95330491264917
34.15,-1.9538513995347
34.2,-1.95433833734137
34.25,-1.95485605599748
34.3,-1.95534418052165
34.35,-1.95586321901408
34.4,-1.95635260170553
34.45,-1.95684253917017
34.5,-1.95736356925022
34.55,-1.95782430414141
34.6,-1.95831604513916
34.65,-1.95883906753699
34.7,-1.95930158872886
34.75,-1.95979525719957
34.8,-1.96028962549451
34.85,-1.96075387999838
34.9,-1.96124947267276
34.95,-1.96174579712135
35,-1.96221191118593
35.05,-1.96270950977697
35.1,-1.96317687131756
35.15,-1.96364478825609
35.2,-1.96414438294914
35.25,-1.96461364641226
35.3,-1.96508348827962
35.35,-1.96555395770599
35.4,-1.96605630914081
35.45,-1.96649688017447
35.5,-1.96696924752592
35.55,-1.96744231723227
35.6,-1.967916060476
35.65,-1.9683590030341
35.7,-1.96883399082492
35.75,-1.96927815473663
35.8,-1.96975447362462
35.85,-1.97023155249974
35.9,-1.97067765239194
35.95,-1.97112431397727
36,-1.97157158831857
36.05,-1.97205132539995
36.1,-1.97246808046253
36.15,-1.97294914826546
36.2,-1.97339909921152
36.25,-1.97388169056831
36.3,-1.97426883131538
36.35,-1.97475268674572
36.4,-1.97514091901928
36.45,-1.97562616464631
36.5,-1.97601552926295
36.55,-1.97650220939943
36.6,-1.97689273895435
36.65,-1.97738089247503
36.7,-1.97777261745847
36.75,-1.97819725929736
36.8,-1.9786551246126
36.85,-1.97908118256117
36.9,-1.97950784163032
36.95,-1.97990241038906
37,-1.9803630218729
37.05,-1.98072600437456
37.1,-1.98118795576511
37.15,-1.98161792868581
37.2,-1.981982558634
37.25,-1.98241365403766
37.3,-1.98281245107228
37.35,-1.98321180919788
37.4,-1.98364495951074
37.45,-1.98401238929915
37.5,-1.98444684852717
37.55,-1.98484880004287
37.6,-1.98521793314484
37.65,-1.98562101739316
37.7,-1.98602479679715
37.75,-1.98639566769265
37.8,-1.98683429314093
37.85,-1.98717274563546
37.9,-1.98757903235941
37.95,-1.98798608879974
38,-1.98832613183703
38.05,-1.98873439133251
38.1,-1.98904150733949
38.15,-1.98948496127383
38.2,-1.9898272411595
38.25,-1.99016991485632
38.3,-1.99058145257573
38.35,-1.99092535299491
38.4,-1.99130401900965
38.45,-1.99164900289702
38.5,-1.99199449014765
38.55,-1.99237500036975
38.6,-1.99268713413221
38.65,-1.99303425317362
38.7,-1.99341662179029
38.75,-1.99373030521934
38.8,-1.99407917109539
38.85,-1.9943938173011
38.9,-1.9947438093451
38.95,-1.99505949209396
39,-1.9954106553501
39.05,-1.99572740989225
39.1,-1.99604464531734
39.15,-1.99639759106901
39.2,-1.9966807001785
39.25,-1.9969994907832
39.3,-1.99735422282004
39.35,-1.99763878755709
39.4,-1.99795923854344
39.45,-1.99824470275581
39.5,-1.99853058310634
39.55,-1.9988882753845
39.6,-1.99910368354779
39.65,-1.99942671635313
39.7,-1.99975043095912
39.75,-1.99996688443423
39.8,-2.00032751431013
39.85,-2.00054474190415
39.9,-2.00087054461892
39.95,-2.00112467995876
40,-2.00137915499101
40.05,-2.00167033570528
40.1,-2.00196208425672
40.15,-2.00214496061562
40.2,-2.00247399421397
40.25,-2.00265750008651
40.3,-2.00295104782879
40.35,-2.00320854237032
40.4,-2.00339289328275
40.45,-2.00368787237289
40.5,-2.00390975915968
40.55,-2.00416889369058
40.6,-2.00431740430406
40.65,-2.00465130019023
40.7,-2.00476316155067
40.75,-2.00509818245388
40.8,-2.00513563912745
40.85,-2.0056577796222
40.9,-2.00569547094642
40.95,-2.00573313259332
41,-2.00637009189063
41.05,-2.00640805577575
41.1,-2.00644597909326
41.15,-2.00689892442483
41.2,-2.00693698948487
41.25,-2.00697503092277
41.3,-2.00758089074429
41.35,-2.00761922975647
41.4,-2.00765753209038
41.45,-2.00769581701212
41.5,-2.00773409339303
41.55,-2.00879989027703
41.6,-2.00883888073162
41.65,-2.00887778963505
41.7,-2.00891665349275
41.75,-2.00895548942077
41.8,-2.00899430749166
41.85,-2.00903311433615
41.9,-2.00907191461329
41.95,-2.0091107117579
42,-2.00914950839143
42.05,-2.0108468913761
42.1,-2.01088706796821
42.15,-2.01092709906249
42.2,-2.010967045173
42.25,-2.01100693496272
42.3,-2.01104678544289
42.35,-2.0110866078723
42.4,-2.01112641021638
42.45,-2.01116619836699
42.5,-2.01120597682535
42.55,-2.01124574912393
42.6,-2.01128551808671
42.65,-2.01132528601534
42.7,-2.01136505481173
42.75,-2.01140482606746
42.8,-2.01144460113181
42.85,-2.01148438115814
42.9,-2.01152416714933
42.95,-2.01156395998112
43,-2.01160376042753
43.05,-2.01164356918014
43.1,-2.01168338686432
43.15,-2.01172321405159
43.2,-2.01176305126938
43.25,-2.01180289900771
43.3,-2.01184275772982
43.35,-2.01188262787736
43.4,-2.01192250987526
43.45,-2.01196240413117
43.5,-2.01200231105094
43.55,-2.0120422310307
43.6,-2.01208216446128
43.65,-2.01212211173515
43.7,-2.01216207324524
43.75,-2.01220204938693
43.8,-2.01224204055302
43.85,-2.01228204715255
43.9,-2.01232206959139
43.95,-2.01236210828546
44,-2.01240216365352
44.05,-2.01244223612667
44.1,-2.01248232614324
44.15,-2.01252243414427
44.2,-2.0125625605848
44.25,-2.01260270592485
44.3,-2.01264287063583
44.35,-2.01268305519494
44.4,-2.01272326008899
44.45,-2.01276348581126
44.5,-2.01280373286556
44.55,-2.01284400176195
44.6,-2.01288429301832
44.65,-2.01292460716263
44.7,-2.01296494472587
44.75,-2.01300530624911
44.8,-2.01304569227824
44.85,-2.01308610336821
44.9,-2.01312654008115
44.95,-2.01316700297798
45,-2.01320749263328
45.05,-2.01324800962487
45.1,-2.01328855453437
45.15,-2.01332912794936
45.2,-2.0133697304629
45.25,-2.01341036266814
45.3,-2.01345102516689
45.35,-2.01349171856566
45.4,-2.01353244346905
45.45,-2.0135732004901
45.5,-2.01361399024148
45.55,-2.01365481334165
45.6,-2.01369567040916
45.65,-2.01373656206732
45.7,-2.01377748893827
45.75,-2.01381845164906
45.8,-2.01385945082689
45.85,-2.01390048709987
45.9,-2.01394156110064
45.95,-2.0139826734578
46,-2.01402382480592
46.05,-2.0140650157756
46.1,-2.01410624700202
46.15,-2.01414751911881
46.2,-2.01418883275863
46.25,-2.0142301885578
46.3,-2.01427158714932
46.35,-2.01431302916785
46.4,-2.01435451524372
46.45,-2.01439604601342
46.5,-2.01443762210732
46.55,-2.01447924415641
46.6,-2.01452091279441
46.65,-2.01456262864809
46.7,-2.01460439234734
46.75,-2.01464620451986
46.8,-2.0146880657901
46.85,-2.01472997678525
46.9,-2.01477193812798
46.95,-2.01481395044004
47,-2.01485601434291
47.05,-2.01489813045299
47.1,-2.01494029938874
47.15,-2.01498252176475
47.2,-2.01502479819652
47.25,-2.01506712929353
47.3,-2.01510951566382
47.35,-2.01515195792018
47.4,-2.01519445666264
47.45,-2.01523701249681
47.5,-2.01527962602421
47.55,-2.01532229784391
47.6,-2.01536502855441
47.65,-2.01540781874462
47.7,-2.01545066901514
47.75,-2.01549357994878
47.8,-2.01553655213934
47.85,-2.0155795861682
47.9,-2.0156226826183
47.95,-2.01566584207376
48,-2.01570906510949
48.05,-2.01575235230655
48.1,-2.015795704232
48.15,-2.01583912146185
48.2,-2.01588260456242
48.25,-2.01592615410107
48.3,-2.01596977064054
48.35,-2.01601345474228
48.4,-2.01605720696745
48.45,-2.01610102787089
48.5,-2.01614491800649
